AP1,AP2,AP3,AP4,X,Y
-78,-84,-72,-79,3.5,4.25
-73,-79,-70,-75,3.7,4.25
-72,-74,-75,-81,3.9,4.25
-70,-83,-70,-81,4.1,4.25
-70,-75,-72,-78,1.3,4.75
-75,-83,-78,-81,1.5,4.75
-77,-77,-81,-81,1.7,4.75
-71,-84,-81,-78,1.9,4.75
-72,-83,-74,-81,2.1,4.75
-73,-83,-72,-78,2.3,4.75
-72,-83,-74,-77,2.5,4.75
-72,-82,-72,-77,2.7,4.75
-73,-83,-78,-78,2.9,4.75
-68,-86,-71,-77,3.1,4.75
-73,-83,-70,-78,3.3,4.75
-74,-84,-74,-81,3.5,4.75
-77,-83,-77,-83,3.7,4.75
-80,-78,-71,-84,3.9,4.75
-75,-74,-60,-84,4.1,4.75
-74,-79,-70,-80,1.3,5.25
-75,-82,-70,-79,1.5,5.25
-77,-82,-82,-85,1.7,5.25
-73,-80,-88,-84,1.9,5.25
-75,-81,-82,-80,2.1,5.25
-70,-80,-78,-84,2.3,5.25
-77,-83,-75,-83,2.5,5.25
-74,-77,-77,-84,2.7,5.25
-72,-82,-81,-81,2.9,5.25
-72,-81,-81,-81,3.1,5.25
-78,-74,-70,-78,3.3,5.25
-72,-75,-73,-82,3.5,5.25
-73,-78,-70,-82,3.7,5.25
-77,-77,-74,-86,3.9,5.25
-70,-80,-72,-80,4.1,5.25
-85,-78,-76,-83,1.3,6
-85,-73,-78,-81,1.5,6
-88,-74,-78,-81,1.7,6
-88,-74,-80,-84,1.9,6
-87,-75,-78,-85,2.1,6
-87,-71,-77,-83,2.3,6
-88,-77,-75,-85,2.5,6
-85,-78,-82,-83,2.7,6
-88,-76,-73,-80,2.9,6
-89,-78,-82,-86,3.1,6
-78,-74,-70,-72,3.3,6
-78,-71,-77,-76,3.5,6
-84,-74,-70,-74,3.7,6
-85,-71,-71,-74,3.9,6
-86,-71,-74,-77,4.1,6
-86,-71,-74,-82,1.3,6.5
-88,-71,-74,-83,1.5,6.5
-88,-72,-70,-81,1.7,6.5
-85,-73,-73,-80,1.9,6.5
-86,-70,-76,-81,2.1,6.5
-86,-73,-74,-80,2.3,6.5
-86,-68,-74,-82,2.5,6.5
-87,-73,-77,-84,2.7,6.5
-85,-75,-75,-83,2.9,6.5
